,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,cluster
0,0.44,0.5,0.39,0.28,0.56,0.5,0.61,1.0,0.17,0.61,0.44,0.61,0.72,0.33,0.33,0.33,0.61,0.33,0.0,0.5,0.11,0.44,0.22,0.5,0.11,0.33,0.22,0.39,0.11,0.44,0.22,0.39,0.5,0.17,0.11,0.61,0.39,0.33,0.5,0.78,0.22,0.44,0.06,0.22,0.28,0.39,0.5,0.0,0.22,0.17,0.11,0.39,1
1,0.7,0.6,0.3,0.2,0.7,0.1,0.6,0.3,0.3,0.3,0.2,0.2,0.6,0.2,0.0,0.6,0.2,0.7,0.7,0.9,0.4,0.7,0.2,0.4,0.5,0.3,0.5,0.8,0.5,0.5,0.3,0.1,0.3,0.2,0.3,1.0,0.5,0.2,0.7,0.3,0.2,0.5,0.2,0.4,0.5,0.1,0.1,0.4,0.5,0.1,0.6,0.0,0
2,0.36,0.73,0.45,0.55,0.64,0.45,0.36,0.91,0.82,0.27,1.0,0.55,0.09,0.36,0.82,0.45,0.36,0.73,0.64,0.36,0.36,0.91,0.73,0.45,0.64,0.45,1.0,0.18,0.0,0.91,0.73,0.55,0.36,0.45,0.36,0.55,0.27,0.82,0.82,0.55,0.0,0.18,0.27,1.0,0.18,0.18,0.36,0.45,1.0,0.45,0.45,0.36,1
3,0.59,0.35,0.65,0.18,0.41,0.24,0.41,0.65,0.65,0.53,0.35,0.12,0.18,0.12,0.76,0.29,0.53,0.41,0.76,0.12,0.24,0.29,0.53,0.29,0.41,0.24,0.47,0.47,0.0,0.24,0.29,0.0,0.18,0.59,0.18,1.0,0.35,0.24,0.35,0.35,0.59,0.24,0.41,0.47,0.06,0.12,0.24,0.35,0.71,0.35,0.29,0.35,1
4,0.33,0.13,0.67,0.53,0.2,0.27,0.4,0.73,0.4,0.4,0.53,1.0,0.33,0.07,0.67,0.33,0.47,0.8,0.2,0.67,0.53,0.2,0.47,0.4,0.33,0.6,0.33,0.4,0.67,0.0,0.13,0.0,0.13,0.13,0.4,0.27,0.07,0.33,0.33,0.13,0.13,0.33,0.27,0.53,0.27,0.6,0.2,0.2,0.13,0.53,0.33,0.4,1
5,0.27,0.27,0.18,0.64,0.55,0.27,0.73,0.55,0.55,0.27,0.09,0.09,0.45,0.36,0.27,0.45,0.27,0.45,0.91,0.73,0.36,0.82,0.64,0.45,0.36,0.18,0.09,0.27,0.18,0.36,0.0,0.27,0.18,1.0,0.18,0.09,0.36,0.36,0.27,0.18,0.45,0.36,0.36,0.18,0.36,0.27,0.55,0.45,0.27,0.27,0.91,0.55,1
6,0.4,0.8,0.3,0.7,0.8,0.7,0.2,0.3,1.0,0.3,0.5,0.2,0.3,0.4,0.5,0.3,0.7,1.0,0.0,0.3,0.7,0.5,0.1,0.5,0.7,0.5,0.2,0.4,0.3,0.1,0.3,0.2,0.2,0.4,0.2,0.6,0.4,0.5,0.1,0.3,0.5,0.8,0.2,0.3,0.3,0.6,0.2,0.6,0.2,0.4,0.2,0.1,1
7,0.42,0.25,0.58,0.5,0.25,0.42,0.33,0.17,0.58,0.58,0.42,0.42,1.0,0.5,0.17,0.67,0.58,0.33,0.83,0.5,0.75,0.67,0.17,0.67,0.67,0.75,0.0,0.58,0.75,0.5,0.5,0.58,0.42,0.5,0.42,0.5,1.0,0.25,0.33,0.42,0.0,0.5,0.58,0.92,0.08,0.42,0.42,0.25,0.33,0.08,0.5,0.5,1
8,0.73,0.4,0.47,0.27,0.53,0.8,0.6,0.27,0.67,0.6,0.8,0.8,0.87,0.47,0.4,0.4,0.67,0.33,0.47,1.0,1.0,0.93,0.47,0.87,0.73,0.47,0.07,0.27,0.27,0.47,0.0,0.67,0.4,0.27,0.4,0.33,0.27,0.4,0.8,0.33,0.4,0.33,0.53,0.13,0.67,0.0,0.27,0.27,0.47,0.6,0.27,0.67,1
9,0.54,0.42,0.42,0.83,0.46,0.29,0.71,0.46,0.63,0.46,0.92,0.54,0.58,0.42,0.25,0.42,0.54,0.58,0.46,1.0,0.29,0.58,0.58,0.29,0.67,0.75,0.13,0.25,0.25,0.08,0.21,0.83,0.58,0.13,0.29,0.0,0.58,0.54,0.25,0.38,0.17,0.33,0.21,0.33,0.08,0.63,0.17,0.29,0.38,0.58,0.38,0.46,1
