,0,1,2,3,4,cluster
0,0.0,0.1,0.5,0.26,0.05,Cluster 1
1,0.05,0.05,0.55,0.6,0.14,Cluster 1
2,0.08,0.18,0.63,0.6,0.85,Cluster 1
3,0.2,0.2,0.68,0.67,0.85,Cluster 1
4,0.22,0.22,0.9,0.3,0.9,Cluster 1
5,0.14,0.14,0.7,0.5,0.3,Cluster 1
6,0.16,0.16,0.8,0.5,0.5,Cluster 1
7,0.12,0.12,0.75,0.68,0.15,Cluster 1
8,0.2,0.2,0.88,0.77,0.8,Cluster 1
9,0.16,0.25,0.01,0.1,0.07,Cluster 1
10,0.11,0.29,0.2,0.05,0.66,Cluster 1
11,0.18,0.26,0.05,0.4,0.04,Cluster 1
12,0.21,0.32,0.25,0.5,0.8,Cluster 1
13,0.13,0.28,0.18,0.75,0.32,Cluster 1
14,0.23,0.29,0.45,0.18,0.88,Cluster 1
15,0.1,0.27,0.35,0.45,0.05,Cluster 1
16,0.22,0.31,0.42,0.88,0.8,Cluster 1
17,0.0,0.25,0.5,0.09,0.07,Cluster 1
18,0.05,0.29,0.58,0.14,0.32,Cluster 1
19,0.1,0.3,0.58,0.28,0.55,Cluster 1
20,0.2,0.32,0.65,0.31,0.89,Cluster 1
21,0.19,0.28,0.57,0.58,0.17,Cluster 1
22,0.11,0.26,0.56,0.68,0.27,Cluster 1
23,0.12,0.28,0.7,0.16,0.32,Cluster 1
24,0.18,0.29,0.78,0.15,0.61,Cluster 1
25,0.2,0.25,0.7,0.25,0.03,Cluster 1
26,0.16,0.28,0.72,0.27,0.32,Cluster 1
27,0.11,0.3,0.79,0.8,0.32,Cluster 1
28,0.18,0.31,0.81,0.7,0.4,Cluster 1
29,0.1,0.33,0.02,0.0,0.25,Cluster 1
30,0.18,0.37,0.11,0.28,0.3,Cluster 1
31,0.13,0.4,0.17,0.25,0.38,Cluster 1
32,0.11,0.42,0.38,0.82,0.31,Cluster 1
33,0.22,0.48,0.47,0.78,0.81,Cluster 1
34,0.14,0.38,0.59,0.11,0.32,Cluster 1
35,0.15,0.42,0.6,0.15,0.62,Cluster 1
36,0.09,0.38,0.54,0.69,0.21,Cluster 1
37,0.2,0.49,0.68,0.76,0.78,Cluster 1
38,0.12,0.62,0.21,0.3,0.59,Cluster 1
39,0.14,0.65,0.19,0.26,0.66,Cluster 1
40,0.16,0.51,0.09,0.38,0.1,Cluster 1
41,0.12,0.56,0.13,0.48,0.32,Cluster 1
42,0.2,0.85,0.24,0.79,0.85,Noise
43,0.16,0.52,0.3,0.09,0.11,Cluster 1
44,0.21,0.78,0.42,0.32,0.84,Cluster 1
45,0.08,0.56,0.33,0.4,0.1,Cluster 1
46,0.14,0.61,0.39,0.56,0.56,Cluster 1
47,0.18,0.7,0.41,0.67,0.33,Cluster 1
48,0.22,0.8,0.44,0.78,0.88,Cluster 1
49,0.1,0.6,0.51,0.1,0.01,Cluster 1
50,0.15,0.67,0.56,0.07,0.66,Cluster 1
51,0.0,0.62,0.52,0.26,0.07,Cluster 1
52,0.11,0.88,0.67,0.66,0.89,Cluster 1
53,0.08,0.56,0.7,0.14,0.1,Cluster 1
54,0.21,0.9,0.9,0.22,0.92,Cluster 1
55,0.08,0.58,0.71,0.27,0.09,Cluster 1
56,0.13,0.62,0.77,0.28,0.31,Cluster 1
57,0.21,0.88,0.87,0.56,0.95,Cluster 1
58,0.22,0.86,0.83,0.89,0.65,Cluster 1
59,0.2,0.78,0.91,0.82,0.85,Cluster 1
60,0.25,0.0,0.1,0.12,0.37,Cluster 1
61,0.29,0.1,0.17,0.74,0.52,Cluster 1
62,0.3,0.18,0.23,0.9,0.84,Cluster 1
63,0.32,0.02,0.34,0.13,0.31,Cluster 1
64,0.28,0.12,0.38,0.17,0.6,Cluster 1
65,0.26,0.09,0.33,0.28,0.32,Cluster 1
66,0.28,0.16,0.41,0.51,0.56,Cluster 1
67,0.26,0.12,0.34,0.68,0.29,Cluster 1
68,0.31,0.2,0.46,0.78,0.83,Cluster 1
69,0.25,0.05,0.53,0.1,0.12,Cluster 1
70,0.32,0.15,0.66,0.24,0.82,Cluster 1
71,0.28,0.08,0.52,0.25,0.08,Cluster 1
72,0.33,0.2,0.64,0.59,0.94,Cluster 1
73,0.31,0.15,0.58,0.76,0.52,Cluster 1
74,0.28,0.06,0.7,0.27,0.32,Cluster 1
75,0.3,0.16,0.89,0.32,0.95,Cluster 1
76,0.27,0.03,0.76,0.59,0.23,Cluster 1
77,0.32,0.2,0.84,0.81,0.8,Cluster 1
78,0.31,0.32,0.29,0.31,0.96,Cluster 1
79,0.28,0.29,0.19,0.37,0.58,Cluster 1
80,0.32,0.31,0.26,0.83,0.77,Cluster 1
81,0.25,0.28,0.3,0.001,0.25,Cluster 1
82,0.26,0.26,0.31,0.26,0.13,Cluster 1
83,0.27,0.29,0.34,0.28,0.32,Cluster 1
84,0.28,0.28,0.38,0.29,0.62,Cluster 1
85,0.26,0.26,0.35,0.62,0.24,Cluster 1
86,0.3,0.32,0.43,0.87,0.83,Cluster 1
87,0.25,0.26,0.51,0.04,0.13,Cluster 1
88,0.28,0.27,0.56,0.14,0.31,Cluster 1
89,0.31,0.32,0.69,0.3,0.98,Cluster 1
90,0.28,0.29,0.57,0.6,0.27,Cluster 1
91,0.27,0.28,0.59,0.69,0.26,Cluster 1
92,0.25,0.28,0.77,0.11,0.31,Cluster 1
93,0.25,0.54,0.31,0.25,0.08,Cluster 1
94,0.29,0.66,0.35,0.28,0.31,Cluster 1
95,0.29,0.74,0.39,0.41,0.54,Cluster 1
96,0.31,0.82,0.47,0.4,0.99,Cluster 1
97,0.28,0.55,0.38,0.9,0.22,Cluster 1
98,0.33,0.04,0.02,0.12,0.11,Cluster 1
99,0.37,0.09,0.1,0.13,0.32,Cluster 1
100,0.4,0.15,0.16,0.3,0.58,Cluster 1
101,0.37,0.07,0.1,0.41,0.3,Cluster 1
102,0.41,0.11,0.21,0.44,0.57,Cluster 1
103,0.42,0.13,0.15,0.94,0.3,Cluster 1
104,0.41,0.04,0.33,0.26,0.12,Cluster 1
105,0.38,0.09,0.37,0.28,0.32,Cluster 1
106,0.42,0.29,0.14,0.03,0.68,Cluster 1
107,0.4,0.3,0.18,0.29,0.59,Cluster 1
108,0.38,0.33,0.1,0.07,0.4,Cluster 1
109,0.47,0.47,0.25,0.96,0.61,Cluster 1
110,0.41,0.37,0.79,0.12,0.32,Cluster 1
111,0.42,0.39,0.78,0.32,0.2,Cluster 1
112,0.36,0.52,0.07,0.1,0.15,Cluster 1
113,0.4,0.59,0.77,0.99,0.24,Cluster 1
114,0.43,0.65,0.76,0.94,0.29,Cluster 1
115,0.6,0.08,0.13,0.14,0.32,Cluster 1
116,0.8,0.24,0.23,0.29,0.98,Cluster 1
117,0.65,0.09,0.16,0.49,0.31,Cluster 1
118,0.68,0.16,0.2,0.59,0.6,Cluster 1
119,0.75,0.22,0.24,0.96,0.62,Cluster 1
120,0.87,0.23,0.25,0.85,0.8,Cluster 1
121,0.52,0.08,0.33,0.07,0.09,Cluster 1
122,0.62,0.12,0.36,0.36,0.32,Cluster 1
123,0.68,0.15,0.58,0.35,0.6,Cluster 1
124,0.54,0.25,0.07,0.09,0.11,Cluster 1
125,0.9,0.31,0.24,0.3,0.97,Cluster 1
126,0.56,0.27,0.11,0.59,0.22,Cluster 1
